user_id,uname,stars,review_count,how_long_month,friends,text_length,num_business,review_per_bus,pro_cool,pro_funny,pro_useful,x,y
DPS9pI6I2eusRwyqaUcJKg,Roseann,3.82,76,81,23,639,4,1.00,0.53,0.38,1.45,-3.4887901024809294,-5.3802776976653348
gEZCV0cyn6__gLHnrTULgw,Gennady,3.73,97,16,43,466,1,1.00,0.88,0.60,1.61,-6.060074418306149,15.220108063667867
Ba3YkF18Zg441CR0Q2Fjyg,David,3.95,57,60,12,147,1,1.00,0.09,0.09,0.67,14.664422275347285,8.0549898312286796
4puWtpz-HxkQ7g1b9jC5Bg,Dog,2.89,53,77,1,323,2,1.00,0.34,0.23,1.74,12.768077089605631,-7.3136309069743035
NkNnFUpZVB0C1UmFWJTluQ,Edmund,4.05,76,77,32,211,1,1.00,1.09,0.74,2.49,-3.8909256698087291,-4.92223403433856
z2fCxEXFKVjeN4gNIQ1CKw,R,3.52,80,68,0,64,5,1.00,0.23,0.44,0.43,-2.9792669472183908,-3.0007309750222597
p1oT1-a2ru2T4XbDgvupAA,Staci,3.67,91,44,3,1100,4,1.00,0.34,0.16,0.90,-6.2653554784882841,7.4153659636574183
JCdEcE9_ocdjffmFnydBfQ,Avery,3.69,97,53,3,1126,37,1.03,0.85,1.64,2.12,-9.7809063886970762,10.579310336453815
QuMyAHpC62CUzPBFZ9ll3A,Golf Girl,3.42,77,61,1,757,44,1.09,0.14,1.01,0.78,-16.530119230575831,7.2078292867075771
pk_Lm2ztOynOFPry5U1uWQ,Roben,3.66,84,82,3,1924,2,1.00,0.56,0.60,2.02,1.0819318864859033,3.9063486602717474
rAQG7AU26ggJfFWTHdN83w,Pamela,4.38,53,71,11,602,44,1.16,0.25,0.21,1.13,-12.74817593347696,5.3547088559934943
NOUXRom0Xpms5jR81Fp3YQ,Amy,4.41,61,53,23,279,1,1.00,0.75,0.31,1.15,8.6416952245186209,12.79903540911161
9icEDEb-x_0BTBs1424F9g,Tam,3.87,65,38,6,800,1,1.00,0.46,0.18,1.23,2.4938523747647454,-10.40557776845055
eRtuJOuHBXoJ3GRlAe_eTw,Timothy,3.65,98,67,141,496,81,1.00,0.82,0.78,3.27,-17.912083168593139,-0.59372208827570705
BtatRPR-wytl8lLwnokwPg,Kathy,3.37,55,60,3,239,19,1.11,0.15,0.05,0.60,5.3268789772307805,4.3342593291661613
_5jCp7QtV9CY-qlllNLb-g,Amber,4.12,77,27,0,385,1,1.00,0.10,0.06,0.27,-10.11854166847119,-3.8831581995688098
lK9dd5aZzg72WoEJDfXWBg,Paul,3.67,97,32,2,94,1,1.00,0.26,0.08,0.74,-5.6513617357900232,14.105324253939447
ctTF9xpDvP8XR_F_CBnNGw,Danielle,3.83,78,39,0,296,1,1.00,0.12,0.09,0.35,-7.9316155943313547,-3.7195077976826183
21IhZdwo1dK0oTvg5v1-AA,sherry,3.47,80,56,25,929,8,1.00,0.46,0.36,0.71,-4.8823720185380735,-2.329729059624515
BTM1lSeJc4GRqtbbybO7aw,Destiny,3.87,64,22,2,316,2,1.00,2.06,0.11,2.86,-11.181654234575374,-7.7254114461007211
xtj_4U6CdlIfmgcLGai2kg,JODY,3.43,78,60,11,1535,63,1.06,0.59,0.32,1.64,-17.004933657330625,2.8224865104353474
89UYh98c22oJTvlZpjGr6Q,Max,3.70,90,67,8,758,4,1.00,0.43,0.43,1.52,-3.7946788073533053,5.8119941755592945
SQ9ztsv-PquZFYB578GXZg,Steven,4.08,50,31,5,679,38,1.00,0.22,0.12,0.56,-11.939462202071544,7.191569520588585
gpPd7g6Os0owvyakr9FSkw,Sarah,4.06,53,78,0,505,6,1.00,0.11,0.11,0.26,17.037707247296616,-2.5953908241446344
UOTS4LmGv-wEub6M6yrTKw,Rick,3.84,68,60,2,280,4,1.00,0.15,0.12,0.35,1.5352336693365376,-14.71902666660192
nTCt6CV-qx3lHsHIMJqizg,Allie,3.70,57,43,5,1344,33,1.30,0.30,0.65,2.07,-11.129974795448344,6.3220611230414852
d4-0-wEjkANvDuuq9SmmKw,Kristen,3.73,85,26,11,491,44,1.00,0.36,0.14,0.89,-17.083063690491734,5.8199181125913348
2i35MvM9vkgHD0ofsoJKyQ,Ivy,3.54,59,52,35,1211,2,1.00,1.15,0.83,1.81,11.569095170494027,9.7834475575967232
lAKSRddHkQRMeiWHQCBkFQ,Aileen,4.17,70,91,20,1238,7,1.00,1.04,0.83,1.73,3.6412123277212771,-1.630928021210919
Nzep64H3fn4TtFpt4tkHkg,Joshua,3.57,80,44,0,11,1,1.00,0.16,0.09,0.63,-8.0342103027724399,-2.2990162424928577
eqorKDb6bvNRtyBxJcH2Dg,Smart,3.39,62,56,0,556,1,1.00,0.32,0.18,1.35,12.155492176200926,8.3090352258856015
bzBowunuaUMGlSOB6f4MOA,Michael,3.67,82,62,5,386,3,1.00,0.20,0.24,1.18,-4.1348749398960072,-1.8068599311658851
iJxU4jK6CoY9rdj_O67kiA,Linda,3.87,82,37,77,770,5,1.00,0.98,0.57,1.52,-8.6460141117453801,-1.0791535200284288
D0RdU0WyB7KEJ3B6PvI8Bw,Melanie,3.63,95,22,1,1211,18,1.11,0.09,0.16,0.58,-6.5118525506053553,14.859859003434446
PUL8BV55Mq0yVe2yWVLLww,Irene,3.78,81,56,24,1038,9,1.00,0.35,0.44,1.30,-5.0666471107159214,-2.2784341237111101
zL4xU724u8VX2W05qy54jA,omid,3.79,69,83,17,364,1,1.00,0.75,0.70,1.39,4.8434401018972233,-4.4983785346258296
toEzuWzNvRG_peW7eikd_A,Travis,3.97,65,54,2,400,3,1.00,0.34,0.14,0.65,3.6643406144911355,-12.920278969378268
trctRbk6AFSbz3IsZUyV2g,Tina,3.30,100,43,3,458,3,1.00,0.19,0.37,1.17,-3.82675942142555,14.209396557772717
JfxVY8P7jU9OODMzpZrzpQ,Amy,4.07,73,81,24,2011,4,1.00,0.47,0.14,1.15,2.4355688460086369,2.2397265224630942
W8-DN0eGI7GykTaJGJ5clg,Susan,3.23,90,94,30,2033,3,1.00,0.74,1.18,1.79,1.3589892253994975,10.054379512357952
Yt7kN9aTrrm0ZYF5sMqS9w,Sylvia,4.02,58,40,4,626,3,1.00,0.22,0.53,1.26,8.0758689988974961,9.4348380518455581
d4pC-azbJ-FLFOoejAdStw,Mercedes,3.98,65,50,9,782,1,1.00,0.28,0.23,0.83,3.4728060010438591,-12.688452635647131
Wg8sdREInu9OdAwSnxiVmA,Adrian,4.12,50,73,8,147,1,1.00,0.14,0.18,0.48,16.901986144181777,-6.8406956839328004
3DmA6rp1NHqrq938cnRCmw,Juliana,3.65,93,71,35,209,1,1.00,1.10,1.37,2.55,-2.1465381946941466,8.6874086934567174
5WmQOHWdlkkOm-jaDrl1QQ,james,3.36,72,91,0,80,1,1.00,0.15,0.08,0.47,3.2637956605909682,-2.4624131399843625
eq4kyAL7OXsnTxuX5PSlqQ,Mark O,3.85,91,12,16,160,76,1.00,0.14,0.05,0.14,-17.957534020201585,-0.46552798645561883
dLigKXqzoaA_MGheVEavtA,Ku'ulei,3.65,67,59,8,378,1,1.00,0.58,0.42,1.34,2.3580536887944703,-14.637550649945563
oRxY1E8v5Kgr9XLWqCudBQ,Alysa,3.47,69,56,7,938,2,1.00,0.54,0.45,1.94,0.35620730459297656,-13.714142593899178
k4mq-hBPV7ndPQ1_bBBi7g,Kelly,4.36,59,28,6,733,8,1.00,0.19,0.08,0.44,-12.212735466799241,-9.50467015110201
CoyDy97wW0ed_SMdNWXOHQ,Sophie,3.61,60,28,9,934,3,1.00,0.30,0.22,1.03,7.5460607709014509,8.6559727263605062
MPGk4SrmyqwG_M-tgG1Q2A,Keith,3.95,64,24,2,221,8,1.00,0.11,0.05,0.23,-11.288600169689957,-7.5178299552987813
AlMmlvi4wg4iOq6uYlBZUA,J,3.04,85,94,3,801,2,1.00,0.25,0.19,1.33,0.18722697195668789,5.4770936031751969
OOYxRc3M9clhaGla2im52w,Jonathan,3.33,54,41,0,126,1,1.00,0.07,0.07,0.50,9.7929470109147445,3.8134405489253704
e5gaalOSCQUhqSrJwAlhgA,Brian,4.34,65,82,30,726,8,1.00,1.43,0.88,1.89,6.1694744882842638,-5.1094503889731717
qXzyeA8mgR3EfXaza7lcNQ,ghetto,3.24,94,39,1,654,27,1.00,0.06,0.11,0.38,-8.6162732570281424,10.884776563057533
sS1-7-FeQTVBxzskJsIbcw,Kimi,3.58,82,64,7,1379,9,1.00,0.83,0.57,1.49,-4.5314689272657169,-1.2696698745081487
5U0wehgqonNE3x_PKiVtCQ,Laura,3.38,50,75,1,165,1,1.00,0.36,1.10,3.24,15.039318772985746,-7.5733287706676133
Dj6Hblfv7MbzlrJYJrcLNw,Mikheyla,3.57,91,34,0,977,6,1.00,0.15,0.18,0.77,-6.532637294924557,8.7060655440288457
C6HhYnw3FZ1kJUV1EFFZKQ,Michelle,4.24,93,22,10,545,5,1.00,0.42,0.18,0.88,-7.252658017465218,13.974064432874503
8KkOs9VoJ4FgA9KDyGZghA,JOSEPH,4.58,76,38,0,245,2,1.00,0.12,0.08,0.53,-10.003647300421749,-5.2653027873866867
O5B7XpsB-He2AVb3enxcag,L,4.08,93,60,13,178,1,1.00,0.12,0.17,0.38,-3.7862092012755197,8.081048407879349
L0WNAy1pXk2OLAXPHQvjdQ,Michelle,4.36,56,62,58,1428,2,1.00,1.79,1.61,2.77,18.175607283884951,-3.9041255103684653
RXlNDUi7s0ECqROjSVhUOQ,Andrea,4.48,62,52,0,178,2,1.00,0.03,0.02,0.18,7.9503534316941602,12.83964661724219
G0PLggk6ZtXXCSTBjMFukg,Gloria,4.74,89,18,6,568,4,1.00,0.26,0.17,0.70,-7.910641644256355,14.385004821202317
_82TcFsa-3NjW9s3LAJA6A,Sara,4.00,74,58,2,812,7,1.00,0.18,0.12,0.65,-4.9818076796029418,-9.6205092611137175
VmOWlVs9LNA1upTbX9qFeQ,Cedric,3.86,50,60,1,621,1,1.00,0.08,0.06,0.32,13.631314355043783,3.5334787428539962
3WTwghMorfK1lSZ2ybQrLg,Corrine,3.53,88,80,6,287,4,1.00,0.39,0.99,1.41,-1.9935496786882145,4.4516412056917245
WwAZ2GKy-uunXYEgTrMBfA,Tommy,3.58,56,100,1,938,4,1.00,0.55,0.39,1.61,11.937116634790025,-9.5192503077402382
-ln5c-7lA-GNeA94P3vO0w,Kathy,3.63,54,69,5,304,2,1.00,0.06,0.04,0.17,15.554808729247524,-2.4792555986154792
jBEDidDaLgiaIuPv-aWTiQ,Mykie,4.30,52,19,2,1306,4,1.00,0.29,0.15,1.23,-9.660330175974682,-12.867197076583047
udT5L2wjSQC0AnlFx_pZjQ,Ang,3.81,74,36,13,628,49,1.00,0.82,0.23,2.01,-16.366011389716078,5.7991976283269056
gwV8VpU_hUDB0u43KMpYUg,Steve,3.17,57,54,1,2749,1,1.00,0.72,0.72,2.58,-1.6038059745769737,-10.781949693310594
MSaTdAyrOphe4p9Gddt2Qg,Chris,3.98,61,43,0,1207,3,1.00,0.54,0.33,0.98,10.248218275659015,10.286296810305476
Bhr0fSF42b-DXpe4yDFEIw,Jacob,3.80,59,58,0,1136,1,1.00,0.41,0.36,1.98,12.222335419645388,10.471021444175713
ZrZUl8oCEH6PjZQzHLopxQ,Angela,3.98,62,40,6,490,5,1.00,0.31,0.31,0.61,8.2993783967150652,10.904325204148405
R86wR3cHNJDPea5uGAGsGw,Tiila,3.86,68,54,19,768,2,1.00,0.90,0.56,2.26,2.023350403901758,-13.790984559162515
seZ-gMHZyqO9JCBikytkCQ,Liz,3.36,69,48,8,1106,4,1.00,0.52,0.81,2.19,6.0134072870412254,-11.087450410907362
gzH-VdZ1ssKmQtvlV6q_Mg,Kayla,3.93,55,40,4,375,28,1.11,0.36,0.11,1.04,-10.003574041600922,6.5833650648934583
EPHz3DJVHmy-C5hbVuTssQ,Mike,3.29,75,70,12,501,3,1.00,0.75,0.65,2.24,-3.0162975068789164,-5.7980444362433099
6JYuk59-XybLN_53iQdn9Q,Hazel,3.72,60,93,2,568,3,1.00,0.95,0.13,1.78,11.147470921924898,-3.4861477764173543
ZgeSG9hKwUDXNLFGWc8OKw,Anthony,4.52,79,45,22,673,62,1.00,1.62,0.51,2.23,-17.210704886291179,3.0620910483553283
DZfXA48Q7GIJbEr3SkI-1Q,J,3.98,96,84,8,1943,2,1.00,1.39,1.80,2.06,0.63094278326673003,12.599232799321534
24rcgUYhY-heEpnv4UuYxA,Chelsea,3.79,74,41,16,339,2,1.00,0.36,0.14,0.82,-4.8206070493557318,-11.824983407174589
Z65-2isbgbtL0H8_1srQ8w,number one,3.31,89,76,1,207,5,1.00,0.20,0.22,1.10,-1.8709166122637131,5.0209892233012798
gfWFpSigtZBKQ1lVyraYBg,Kate,3.48,75,28,105,543,62,1.08,0.93,0.83,2.39,-17.02754182623994,3.6742382150190869
aKnvOX0Y7Wt0ZpoJjuSSOg,Stephanie,3.72,94,53,24,964,5,1.00,0.97,0.61,2.04,-5.3523333171050309,8.8380480082811879
Vp-gQXeKoY7D3BF47sOj0Q,chris,4.14,65,65,9,446,1,1.00,0.71,0.89,1.35,6.9978963606750355,-7.9417360454909991
bfFQLVWiIx-JeI6DigaiMQ,Joan,2.90,96,63,10,775,3,1.00,0.54,2.47,1.79,-2.7768044943925947,13.715825419333576
EhNmspbeLli2pzJTMN5zMw,carrie,3.36,77,83,16,857,7,1.00,0.97,1.18,2.45,-0.24744923798308094,-2.0526759191307327
qL_Kb4xwm_atViCBvonSBQ,Jan,3.52,71,56,8,757,2,1.00,0.38,0.79,1.17,0.0037478384817653527,-13.88510076843154
6qC83lrhdReXrqn_6P5eHA,Kathleen,3.88,53,63,3,464,1,2.00,0.28,0.26,1.98,-17.243136550842237,-2.7069856678855833
43o-MecFJLLFw2-hvf64uw,Eric,3.84,54,83,1,713,2,1.00,0.48,0.06,1.46,15.05576402437412,-3.3596230788939807
F5DOd05SxK8UG8ZdeFslQA,Ruby,3.67,57,64,7,874,1,1.00,0.54,0.68,1.30,13.437619994211996,0.48711813688572608
XUNSGM6pB6FtiLyI6wOk3Q,Natsuki,3.91,83,64,20,710,1,1.00,0.37,0.42,1.34,-4.2204624387058765,-0.87919700669728262
CRa4i13Jd2TIAY7M2CIxXQ,Mike,3.13,85,15,7,262,75,1.00,0.20,0.31,0.87,-18.000912459601256,-0.27637764786886732
ZMt-Ch1s-DtC96h7RnNWFw,suzi,4.03,69,88,0,587,2,1.00,0.30,0.25,1.16,4.9306388524231144,-4.2531119743341863
rSRW8-nPMUJ1ZRVVnOcAsg,Dexter,4.14,76,43,0,362,1,1.00,0.29,0.17,0.87,-7.5449188614882949,-6.645269817731017
nGoq15en_Q-u8enpo5-PkQ,David,2.92,78,50,1,359,1,1.00,0.10,0.33,0.99,-1.2194929833706085,-5.9157473168001715
h8uM7G-1yd0iBIutMVf94w,Lorraine,3.75,60,69,5,264,2,1.00,1.03,0.88,1.58,12.733184244779082,-0.50400253379049564
cq4320b-JNbZWN8PVQcNIA,Putra,3.95,59,60,12,359,2,1.00,0.32,0.20,1.08,12.056241157460398,11.978135359720484
xMCGKEColFk3_hyl-8PSYQ,William,3.82,76,73,12,388,3,1.00,1.38,0.22,2.53,-3.8908614858370925,-5.6909333775852842
L0sOaM3faq38ipTaCgRwBQ,Lisa,3.30,75,83,24,800,12,1.08,0.84,1.23,1.49,0.055056809853985277,-2.1604682447471202
k-PzH1mY7G4jANPeHCNBxA,Kim,3.89,54,31,0,488,16,1.00,0.35,0.15,0.76,5.2168581181261153,5.9789396207063144
x6Gh9t6H8ZdoH6Fbe-rFHA,Ika,3.59,87,78,1,345,14,1.00,0.14,0.10,0.34,-2.3844259730533697,3.8166638733283165
Mw_3s_kSQCIVVDMGCG3YAQ,Li,3.39,97,47,20,790,3,1.00,0.34,0.29,0.75,-3.9255329710963847,12.817439413954343
d4meSPgQSocVWQZxqFgpjA,Charlene,4.26,68,65,4,753,1,1.00,0.81,0.35,2.04,4.8261532913044407,-6.9226738566733408
g2njxKawMeKqhfsHh6TXLw,Shaun,3.70,50,88,11,3131,1,1.00,1.52,1.46,2.06,-16.074971251610915,-4.8432913157070496
hlxLILmK6pcX29CY0xzrCg,Dean,4.02,86,53,4,145,1,1.00,0.36,0.40,0.87,-6.9432195955795128,2.2072536599215176
kBxD50E-f2bhry1oD05LNg,Rachel,4.19,60,75,3,839,4,1.00,0.58,0.10,1.47,14.032227493306728,-1.6123103864104065
F_YLWvNvP8d9g-M-JGiejg,Dustin,3.58,50,92,0,469,3,1.00,0.38,0.38,0.70,14.797422740257952,-9.0505057106183582
wwnU7a7NJP-wX9V0a4YPOA,Eric,3.62,84,15,30,886,1,1.00,0.69,0.40,1.12,-9.4543050726385545,12.970844851990813
MbbHoBLL9fOraMHPbbUI7g,Pamela,3.88,58,72,4,456,3,1.00,0.47,0.33,1.90,13.538504040678843,-0.69292753534138263
eXNR_l5oHQ-kyCxgwaeWBw,Amanda,4.13,61,54,3,254,4,1.00,0.20,0.03,0.54,10.473369137520622,12.403112262757778
URDFKCdUnWfldn-CPgZtRw,Theresa,3.83,55,52,7,921,3,1.00,0.85,0.42,1.56,13.814907600349935,7.1977688643834403
_Vs8n9699TcFx4kqbHz7RA,Melissa,4.17,81,32,24,357,2,1.00,0.56,0.28,1.28,-9.2313843337631614,-1.1396444956715872
fU13OrvIV8uvKxUhceF6Vw,stephanie,3.67,52,47,14,293,34,1.00,1.79,1.15,3.29,-10.562683520285987,6.2681495591426755
y6jYRiWC3vU_iRRD59R-cQ,Liz,3.77,80,21,4,885,4,1.00,0.11,0.26,0.85,-10.902424146790407,-2.450094383180256
zrQmvXJLGITbITvJ6FQ3Rw,James,3.79,68,36,0,358,10,1.00,0.22,0.03,0.29,1.8172066278363912,-9.855872397646829
tf82wxAiarRLF5_d-jkUfw,janet,3.88,96,69,44,410,2,1.00,1.51,1.54,2.02,-2.272437890954595,10.694076951373258
XdvqN51HT9-q7TZAQsA8Lg,Michael,4.22,76,63,2,317,2,1.00,0.08,0.22,0.38,-6.2597450998106003,-7.9843437728499413
x_6WR0QeMcRkRAtoq7ynUg,Fred,4.15,58,51,37,2180,1,1.00,0.16,0.19,0.38,8.2250057066561499,-13.044815685521131
6jEdID2b7IxxpnTXcB8lMw,Michelle,3.53,51,63,6,526,3,1.00,0.18,0.18,0.27,13.028809083319377,3.0836287407772005
sWEPTUxugNzgIHYPAH451g,Liz,3.82,76,75,4,791,1,1.00,0.54,0.41,1.51,-3.7332915604582242,-5.7250904991888447
xK2cabX2vRvkGIToJJCiJA,Jimmy,3.60,75,44,16,694,1,1.00,0.21,0.23,0.63,-4.5695300540595643,-11.814299353083259
VKiWDL608wBRQtk05ts59g,Dan,3.43,80,111,23,951,36,1.03,1.10,1.00,3.10,-11.254295783518039,10.165030706744119
OCo04yEBvv_lP_LrmhOdDA,Kaleb,3.58,55,22,13,421,48,1.00,0.49,0.69,0.87,-13.590015310571863,7.7727224917673263
w11ehR_RfVL028I_lnK03A,Samson,3.57,93,98,44,1257,1,1.00,1.30,1.35,1.76,1.0734976645542578,10.44137365428556
7cyWZz3-Hs8tvasoZ2CRVg,Pam,3.92,70,50,1,1154,1,1.00,0.13,0.06,0.54,1.5541705199928946,-13.295558733976749
G1Uo52TfLihd4wPj9oI3Ig,Daniel,3.10,68,72,7,342,2,1.00,0.79,0.65,2.21,2.9144110826334551,-4.0134420361426626
Olg_fYYnUaEBmYCIl8Y9Rw,Mary,4.05,65,65,2,425,1,1.00,0.42,0.45,1.23,7.0742390064672751,-7.9396484422215154
yBbM7rao4E4ZOXmvRF6f7g,Mariana,3.73,92,57,8,197,3,1.00,0.88,0.77,1.55,-4.3186081651468209,7.4195872640224225
Pc2ezRRHcXUXWXmZutQPeg,Whitley,3.63,78,41,136,597,48,1.04,0.78,0.59,1.36,-16.655965468594395,6.0098373125443478
sGhNxXp4QsZtoJ7kmnXg8g,Brit,3.97,67,72,3,182,1,1.00,0.39,0.40,1.10,5.791766258741581,-6.5517966277021857
4YGLhP2aqNGaQRQ17J71CA,Laura,3.60,65,65,5,1208,2,1.00,0.37,0.28,1.18,8.1132991969823092,-6.6239787582028686
w6I0UF_b5YBVDh4GPa_nwQ,Sera,3.71,56,40,0,1247,4,1.00,0.30,0.23,1.52,10.867820204180223,6.4795755995101354
NAp_p9-F-t9HxV68niH7TQ,Chloe,3.65,56,97,2,704,15,1.00,0.57,0.68,3.41,11.857171786895568,-9.4973655675350379
wvNxeGuJRn5jDR-_kzf9cA,Patty,2.79,53,30,7,1079,11,1.00,0.30,0.25,1.32,-8.0348454363339243,-11.857947032179716
acklYtskYJTLsmuK5aoeUw,Lori,3.75,58,79,3,414,1,1.00,0.48,0.48,1.67,13.368540000303046,-1.8408222877264231
bns5AA2RPzKHBH_02-uCFA,Chaz,3.45,77,69,5,665,4,1.00,0.95,1.65,1.97,-3.1800624062129166,-5.0740932068629281
gp5_b9UMUA7KZjeAJrQ3MQ,Geraldine,3.75,54,71,27,722,2,1.00,0.78,1.87,1.91,15.613014842750983,-3.0198495054153729
4HrgEqR20YdYc3XQqO-GDA,Frankie,4.13,59,51,5,692,1,1.00,0.78,0.46,1.44,10.937049976464314,11.733570954992508
jB-jmupliZ40B6a9-h1TGQ,Heather,3.92,90,58,19,606,23,1.00,0.21,0.09,0.93,-7.5935280674236161,9.4290515837814723
2MRF3x6MPBBAcWPSXfyTvQ,M,4.27,59,5,0,427,2,1.00,0.15,0.03,0.54,-10.683918048149284,-10.669240297253463
nhysTbkA09SymSrCjdTaVw,Don,3.29,51,54,12,680,13,1.00,0.41,0.37,1.57,11.275891318815235,3.2245229252051799
